Year,Office,Winner,Party,Winner's Vote Count,Winner's Percent of Total Votes
2016,President,Hillary R. Clinton,Democratic,1981473,0.49700000000000005
2012,President,Barack Obama,Democratic,1971820,0.511
2008,President,Barack Obama,Democratic,1959532,0.526
2004,President,Bush and Cheney,Republican,1716959,0.537
2000,President,Bush and Cheney,Republican,1437490,0.525
1996,President,Dole and Kemp,Republican,1138350,0.47100000000000003
1992,President,George W. Bush,Republican,1150517,0.45
1988,President,George H. Bush,Republican,1309162,0.597
1984,President,Ronald W. Reagan,Republican,1337078,0.623
1980,President,Ronald W. Reagan,Republican,989609,0.53
1976,President,Gerald Ford,Republican,836554,0.493
1972,President,Richard Nixon,Republican,988493,0.6779999999999999
1968,President,Richard Nixon,Republican,590319,0.434
1964,President,Lyndon B. Johnson,Democratic,558038,0.536
1960,President,Richard Nixon,Republican,404521,0.524
1956,President,Dwight D. Eisenhower,Republican,386459,0.5539999999999999
1952,President,Dwight D. Eisenhower,Republican,349037,0.563
1948,President,Harry S. Truman,Democratic,200786,0.479
1944,President,Franklin D. Roosevelt,Democratic,242276,0.5720000000000001
1940,President,Franklin D. Roosevelt,Democratic,235961,0.679
1936,President,Franklin D. Roosevelt,Democratic,234980,0.7020000000000001
1932,President,Franklin D. Roosevelt,Democratic,203979,0.688
1928,President,Herbert Hoover,Republican,164609,0.537
1924,President,John W. Davis,Democratic,139716,0.626
